"location","target","predicted_value","truth","error","truth_zero","relative_error","forecast_date","target_end_date"
"KS","4 wk ahead cum death",434,205,-229,121,-2.72619047619048,"2020-04-26","2020-05-23"
"KY","1 wk ahead cum case",5181,4879,-302,4085,-0.380352644836272,"2020-04-26","2020-05-02"
"KY","1 wk ahead cum death",264,248,-16,208,-0.4,"2020-04-26","2020-05-02"
"KY","2 wk ahead cum case",6775,6440,-335,4085,-0.142250530785563,"2020-04-26","2020-05-09"
"KY","2 wk ahead cum death",339,304,-35,208,-0.364583333333333,"2020-04-26","2020-05-09"
"KY","3 wk ahead cum case",9266,7688,-1578,4085,-0.43796835970025,"2020-04-26","2020-05-16"
"KY","3 wk ahead cum death",426,334,-92,208,-0.73015873015873,"2020-04-26","2020-05-16"
"KY","4 wk ahead cum case",13697,8571,-5126,4085,-1.1426660722247,"2020-04-26","2020-05-23"
"KY","4 wk ahead cum death",545,391,-154,208,-0.841530054644809,"2020-04-26","2020-05-23"
"LA","1 wk ahead cum case",28555,29140,585,26773,0.247148288973384,"2020-04-26","2020-05-02"
"LA","1 wk ahead cum death",1956,1993,37,1729,0.140151515151515,"2020-04-26","2020-05-02"
"LA","2 wk ahead cum case",30270,31417,1147,26773,0.246985357450474,"2020-04-26","2020-05-09"
"LA","2 wk ahead cum death",2187,2267,80,1729,0.148698884758364,"2020-04-26","2020-05-09"
"LA","3 wk ahead cum case",31788,34117,2329,26773,0.31712962962963,"2020-04-26","2020-05-16"
"LA","3 wk ahead cum death",2418,2479,61,1729,0.0813333333333333,"2020-04-26","2020-05-16"
"LA","4 wk ahead cum case",33314,36925,3611,26773,0.355693459416864,"2020-04-26","2020-05-23"
"LA","4 wk ahead cum death",2641,2668,27,1729,0.0287539936102236,"2020-04-26","2020-05-23"
"ME","1 wk ahead cum case",1163,1153,-10,1015,-0.072463768115942,"2020-04-26","2020-05-02"
"ME","1 wk ahead cum death",63,56,-7,50,-1.16666666666667,"2020-04-26","2020-05-02"
"ME","2 wk ahead cum case",1368,1408,40,1015,0.101781170483461,"2020-04-26","2020-05-09"
"ME","2 wk ahead cum death",77,64,-13,50,-0.928571428571429,"2020-04-26","2020-05-09"
"ME","3 wk ahead cum case",1691,1648,-43,1015,-0.0679304897314376,"2020-04-26","2020-05-16"
"ME","3 wk ahead cum death",90,70,-20,50,-1,"2020-04-26","2020-05-16"
"ME","4 wk ahead cum case",2251,2013,-238,1015,-0.238476953907816,"2020-04-26","2020-05-23"
"ME","4 wk ahead cum death",106,77,-29,50,-1.07407407407407,"2020-04-26","2020-05-23"
"MD","1 wk ahead cum case",23757,24473,716,18581,0.121520706042091,"2020-04-26","2020-05-02"
"MD","1 wk ahead cum death",1249,1251,2,910,0.00586510263929619,"2020-04-26","2020-05-02"
"MD","2 wk ahead cum case",29776,31534,1758,18581,0.135721454489308,"2020-04-26","2020-05-09"
"MD","2 wk ahead cum death",1635,1614,-21,910,-0.0298295454545455,"2020-04-26","2020-05-09"
"MD","3 wk ahead cum case",36017,37968,1951,18581,0.100634445762624,"2020-04-26","2020-05-16"
"MD","3 wk ahead cum death",2016,1957,-59,910,-0.0563514804202483,"2020-04-26","2020-05-16"
"MD","4 wk ahead cum case",43293,45495,2202,18581,0.0818161551608828,"2020-04-26","2020-05-23"
"MD","4 wk ahead cum death",2397,2243,-154,910,-0.115528882220555,"2020-04-26","2020-05-23"
"MA","1 wk ahead cum case",66596,66263,-333,54938,-0.0294039735099338,"2020-04-26","2020-05-02"
"MA","1 wk ahead cum death",3615,3846,231,2899,0.243928194297782,"2020-04-26","2020-05-02"
"MA","2 wk ahead cum case",77941,76743,-1198,54938,-0.0549415271726668,"2020-04-26","2020-05-09"
"MA","2 wk ahead cum death",4325,4840,515,2899,0.265327150953117,"2020-04-26","2020-05-09"
"MA","3 wk ahead cum case",87285,84933,-2352,54938,-0.0784130688448075,"2020-04-26","2020-05-16"
"MA","3 wk ahead cum death",4901,5705,804,2899,0.286528866714184,"2020-04-26","2020-05-16"
"MA","4 wk ahead cum case",94411,91662,-2749,54938,-0.0748556802091275,"2020-04-26","2020-05-23"
"MA","4 wk ahead cum death",5430,6304,874,2899,0.256681350954479,"2020-04-26","2020-05-23"
"MI","1 wk ahead cum case",41866,43207,1341,37778,0.247006815251428,"2020-04-26","2020-05-02"
"MI","1 wk ahead cum death",3972,4021,49,3315,0.0694050991501416,"2020-04-26","2020-05-02"
"MI","2 wk ahead cum case",46023,46815,792,37778,0.0876397034414075,"2020-04-26","2020-05-09"
"MI","2 wk ahead cum death",4649,4530,-119,3315,-0.0979423868312757,"2020-04-26","2020-05-09"
"MI","3 wk ahead cum case",49909,50538,629,37778,0.049294670846395,"2020-04-26","2020-05-16"
"MI","3 wk ahead cum death",5204,4881,-323,3315,-0.206257982120051,"2020-04-26","2020-05-16"
"MI","4 wk ahead cum case",54369,54365,-4,37778,-0.000241152709953578,"2020-04-26","2020-05-23"
"MI","4 wk ahead cum death",5657,5223,-434,3315,-0.227463312368973,"2020-04-26","2020-05-23"
"MN","1 wk ahead cum case",6401,6232,-169,3602,-0.0642585551330798,"2020-04-26","2020-05-02"
"MN","1 wk ahead cum death",435,394,-41,272,-0.336065573770492,"2020-04-26","2020-05-02"
"MN","2 wk ahead cum case",10281,10790,509,3602,0.0708124652198108,"2020-04-26","2020-05-09"
"MN","2 wk ahead cum death",654,558,-96,272,-0.335664335664336,"2020-04-26","2020-05-09"
"MN","3 wk ahead cum case",15229,14969,-260,3602,-0.0228732295240609,"2020-04-26","2020-05-16"
"MN","3 wk ahead cum death",925,709,-216,272,-0.494279176201373,"2020-04-26","2020-05-16"
"MN","4 wk ahead cum case",22351,19845,-2506,3602,-0.154281844486856,"2020-04-26","2020-05-23"
"MN","4 wk ahead cum death",1292,861,-431,272,-0.731748726655348,"2020-04-26","2020-05-23"
"MS","1 wk ahead cum case",7359,7441,82,5911,0.0535947712418301,"2020-04-26","2020-05-02"
"MS","1 wk ahead cum death",289,291,2,227,0.03125,"2020-04-26","2020-05-02"
"MS","2 wk ahead cum case",9127,9378,251,5911,0.072396884914912,"2020-04-26","2020-05-09"
"MS","2 wk ahead cum death",365,421,56,227,0.288659793814433,"2020-04-26","2020-05-09"
"MS","3 wk ahead cum case",11395,11123,-272,5911,-0.0521872601688411,"2020-04-26","2020-05-16"
"MS","3 wk ahead cum death",466,510,44,227,0.15547703180212,"2020-04-26","2020-05-16"
"MS","4 wk ahead cum case",15002,13005,-1997,5911,-0.281505497603609,"2020-04-26","2020-05-23"
"MS","4 wk ahead cum death",634,616,-18,227,-0.0462724935732648,"2020-04-26","2020-05-23"
"MO","1 wk ahead cum case",8338,8356,18,7120,0.0145631067961165,"2020-04-26","2020-05-02"
"MO","1 wk ahead cum death",358,376,18,283,0.193548387096774,"2020-04-26","2020-05-02"
"MO","2 wk ahead cum case",9902,9911,9,7120,0.00322465066284486,"2020-04-26","2020-05-09"
"MO","2 wk ahead cum death",434,494,60,283,0.28436018957346,"2020-04-26","2020-05-09"
"MO","3 wk ahead cum case",11861,10959,-902,7120,-0.234957020057307,"2020-04-26","2020-05-16"
"MO","3 wk ahead cum death",510,594,84,283,0.270096463022508,"2020-04-26","2020-05-16"
"MO","4 wk ahead cum case",15193,11966,-3227,7120,-0.665910028889806,"2020-04-26","2020-05-23"
"MO","4 wk ahead cum death",606,682,76,283,0.19047619047619,"2020-04-26","2020-05-23"
"MT","1 wk ahead cum case",461,455,-6,448,-0.857142857142857,"2020-04-26","2020-05-02"
"MT","1 wk ahead cum death",16,16,0,14,0,"2020-04-26","2020-05-02"
"MT","2 wk ahead cum case",482,458,-24,448,-2.4,"2020-04-26","2020-05-09"
"MT","2 wk ahead cum death",18,16,-2,14,-1,"2020-04-26","2020-05-09"
"MT","3 wk ahead cum case",514,468,-46,448,-2.3,"2020-04-26","2020-05-16"
"MT","3 wk ahead cum death",20,16,-4,14,-2,"2020-04-26","2020-05-16"
"MT","4 wk ahead cum case",584,479,-105,448,-3.38709677419355,"2020-04-26","2020-05-23"
"MT","4 wk ahead cum death",25,16,-9,14,-4.5,"2020-04-26","2020-05-23"
"NE","1 wk ahead cum case",5067,5317,250,3028,0.109217999126256,"2020-04-26","2020-05-02"
"NE","1 wk ahead cum death",85,73,-12,56,-0.705882352941177,"2020-04-26","2020-05-02"
"NE","2 wk ahead cum case",8792,8093,-699,3028,-0.138005923000987,"2020-04-26","2020-05-09"
"NE","2 wk ahead cum death",158,90,-68,56,-2,"2020-04-26","2020-05-09"
"NE","3 wk ahead cum case",15262,10220,-5042,3028,-0.701056729699666,"2020-04-26","2020-05-16"
"NE","3 wk ahead cum death",290,123,-167,56,-2.49253731343284,"2020-04-26","2020-05-16"
"NE","4 wk ahead cum case",27305,11963,-15342,3028,-1.7170677112479,"2020-04-26","2020-05-23"
"NE","4 wk ahead cum death",491,147,-344,56,-3.78021978021978,"2020-04-26","2020-05-23"
"NV","1 wk ahead cum case",5420,5389,-31,4734,-0.0473282442748092,"2020-04-26","2020-05-02"
"NV","1 wk ahead cum death",252,255,3,206,0.0612244897959184,"2020-04-26","2020-05-02"
"NV","2 wk ahead cum case",6314,6171,-143,4734,-0.0995128740431454,"2020-04-26","2020-05-09"
"NV","2 wk ahead cum death",302,313,11,206,0.102803738317757,"2020-04-26","2020-05-09"
"NV","3 wk ahead cum case",7486,6813,-673,4734,-0.323713323713324,"2020-04-26","2020-05-16"
"NV","3 wk ahead cum death",350,347,-3,206,-0.0212765957446809,"2020-04-26","2020-05-16"
"NV","4 wk ahead cum case",9011,7526,-1485,4734,-0.531876790830946,"2020-04-26","2020-05-23"
"NV","4 wk ahead cum death",396,387,-9,206,-0.0497237569060773,"2020-04-26","2020-05-23"
"NH","1 wk ahead cum case",2302,2429,127,1864,0.224778761061947,"2020-04-26","2020-05-02"
"NH","1 wk ahead cum death",79,84,5,60,0.208333333333333,"2020-04-26","2020-05-02"
"NH","2 wk ahead cum case",3043,3011,-32,1864,-0.027898866608544,"2020-04-26","2020-05-09"
